"","X1.k_PlasKid","X1.k_ePlas","X1.k_KidPlas","X1.k_eKid","X1.scale","X1.Plasma0","X2.k_PlasKid","X2.k_ePlas","X2.k_KidPlas","X2.k_eKid","X2.scale","X2.Plasma0","X3.k_PlasKid","X3.k_ePlas","X3.k_KidPlas","X3.k_eKid","X3.scale","X3.Plasma0","X4.k_PlasKid","X4.k_ePlas","X4.k_KidPlas","X4.k_eKid","X4.scale","X4.Plasma0"
"147",2.12353,0.0598286,0.217212,0.00875347,4.18969,50.7327,2.03568,0.0312248,0.167291,0.0104492,4.29768,50.4714,2.49258,0.109157,0.257636,0.00419754,4.20002,50.2784,2.1315,0.132781,0.212879,0.00145137,4.35706,49.097
"148",2.21033,0.137864,0.200474,0.00121593,4.17358,50.2963,2.06141,0.0755003,0.161669,0.00648524,4.22709,50.445,2.48786,0.110447,0.249464,0.00410721,4.16809,50.8889,2.04454,0.0761182,0.204401,0.00641002,4.36449,48.7064
"149",2.34268,0.130923,0.245811,0.00155653,3.7683,50.1458,2.10475,0.108687,0.189154,0.00381429,4.19487,49.5465,1.98563,0.0542113,0.168274,0.00867096,4.3962,48.7773,1.90533,0.0314173,0.161426,0.0109185,4.22776,50.3506
"150",2.33872,0.122487,0.2443,0.00153056,3.77278,50.1486,2.15741,0.124101,0.217238,0.0021979,4.35477,50.339,2.31025,0.100871,0.248565,0.00414049,3.98074,49.8826,2.02181,0.0659393,0.179711,0.00749102,3.88023,50.1331
"151",2.0253,0.0714961,0.180186,0.00705279,4.32006,50.562,1.96893,0.0507228,0.161586,0.00864385,4.2197,49.3233,2.06156,0.116164,0.215652,0.00275511,4.04657,49.7665,2.04254,0.051293,0.181823,0.00878664,4.40867,50.1082
"152",1.98708,0.127644,0.195026,0.0018208,4.22307,49.1429,2.04136,0.0525411,0.156336,0.00840771,4.15517,49.8911,2.32965,0.110425,0.212157,0.00320652,3.91135,50.9294,2.0983,0.0728208,0.189063,0.00684582,4.14718,49.1742
"153",2.07321,0.0791205,0.187139,0.00671716,4.58019,50.8986,2.29178,0.00388932,0.214814,0.0139295,4.46302,50.6012,2.42723,0.0845427,0.255836,0.00570274,4.02776,49.4057,1.9405,0.108489,0.186335,0.00321401,4.22756,47.1908
"154",2.15326,0.0675011,0.205026,0.00737966,3.88652,50.0021,2.33285,0.00191201,0.189223,0.0130986,4.40944,51.16,2.30956,0.0674795,0.233206,0.007836,4.05194,48.8582,1.96668,0.135078,0.172211,0.00230784,4.21455,51.9522
"155",2.32528,0.0934759,0.23888,0.00450313,4.72651,49.5731,2.34166,0.00215475,0.190237,0.0130817,4.41863,51.1017,2.10419,0.0395684,0.186373,0.0103124,3.93608,49.2631,2.1179,0.122265,0.206287,0.0028345,4.36726,50.553
"156",2.40897,0.102383,0.241175,0.00379614,4.75581,50.0371,2.06574,0.0926957,0.213408,0.00480355,4.10883,48.9437,2.09782,0.0283969,0.182279,0.010868,4.59386,50.5445,1.83898,0.119782,0.157536,0.00332857,4.05328,49.6332
"157",2.44646,0.104449,0.238681,0.00353569,4.62753,50.1693,2.18849,0.114273,0.222028,0.00276955,4.48242,50.1312,2.0534,0.0285373,0.19514,0.0114084,4.73468,49.9813,1.8306,0.118545,0.163029,0.00332008,4.21308,49.8211
"158",2.23444,0.128329,0.2407,0.00140784,4.5121,50.2852,2.26595,0.116598,0.218218,0.00279051,4.34851,49.9483,2.12072,0.080296,0.181165,0.00635748,4.82379,50.7022,1.8497,0.10913,0.152057,0.00423667,4.04935,50.402
"159",2.17563,0.114023,0.227486,0.00300257,3.93134,50.2049,2.3463,0.133164,0.224663,0.00166088,4.13158,51.038,2.18075,0.0643044,0.205459,0.00848312,4.69869,50.8539,1.92205,0.132944,0.193367,0.000599668,4.17248,50.3244
"160",2.15002,0.0933522,0.218295,0.00556011,4.05367,49.7699,2.28097,0.0583573,0.228599,0.00852606,4.20283,49.0585,1.97821,0.0741766,0.181635,0.00654324,3.8834,48.3054,1.99339,0.103131,0.165802,0.00410931,4.2358,51.8916
"161",2.40939,0.0410882,0.218478,0.00938998,4.10812,49.2027,1.96769,0.09377,0.18517,0.00503992,4.36139,50.3524,2.2459,0.0859077,0.188343,0.00525881,4.65672,51.0647,1.98729,0.0577255,0.186682,0.00780925,4.32569,49.3865
"162",2.09861,0.0977194,0.182107,0.00437306,4.62305,50.4233,1.90522,0.097072,0.168137,0.00458676,4.53559,50.0641,2.0498,0.120947,0.209654,0.0011528,3.99589,48.1892,2.19561,0.0993626,0.225584,0.00518183,4.23546,49.8882
"163",2.0613,0.0529827,0.196509,0.00922225,3.96853,49.3189,2.00954,0.0892076,0.18169,0.00550662,4.4398,50.2836,2.09646,0.120621,0.205767,0.00167224,4.12071,50.3267,2.04512,0.0483509,0.175318,0.008833,4.13184,50.2554
"164",2.13883,0.0760829,0.189986,0.0064292,4.16284,48.8746,2.17584,0.0671432,0.186149,0.0076915,3.62311,50.4006,2.13529,0.02254,0.193722,0.0116521,4.41417,49.8013,2.04765,0.0975121,0.199047,0.00459437,4.41696,49.1499
"165",2.19013,0.00297032,0.172739,0.0121197,4.43129,51.1497,1.83286,0.130349,0.169285,0.00192874,3.70157,49.0987,2.57487,0.0196947,0.253159,0.0123552,4.32877,49.6588,2.1175,0.0858563,0.207731,0.00545671,4.4331,48.3969
"166",1.93356,0.00496542,0.159381,0.0122598,4.56918,49.8376,2.33933,0.0340573,0.213499,0.010877,4.87626,50.9638,2.13427,0.0978298,0.197978,0.00488083,4.37065,51.6078,2.14402,0.0451726,0.205388,0.00945359,4.22298,48.4715
"167",2.16374,0.0422709,0.181349,0.00993081,3.85324,49.4628,2.03201,0.140644,0.20864,0.000466259,3.70632,49.1523,1.90074,0.0697437,0.171906,0.00700859,4.30463,48.7338,1.95076,0.125933,0.170725,0.00234703,4.30015,51.04
"168",2.13121,0.107299,0.212252,0.00371713,3.91911,50.267,2.10202,0.139971,0.19431,0.000921812,4.12557,49.6307,2.20382,0.138072,0.225041,0.000758736,4.21863,51.1481,2.31301,0.0446338,0.207832,0.0096042,4.17455,50.0273
"169",2.15565,0.126058,0.194237,0.00256038,3.77984,49.8683,2.10047,0.0967038,0.211464,0.00479069,4.46989,50.4444,2.373,0.116885,0.226706,0.00277258,4.19812,50.4685,2.17667,0.0993666,0.204374,0.00473133,4.16482,49.8032
"170",1.91868,0.0638731,0.180101,0.0081815,4.74681,49.7397,2.32125,0.0606636,0.202618,0.00781441,4.38539,49.6837,2.29152,0.083026,0.240659,0.00639892,4.13716,51.3519,1.99171,0.112354,0.20229,0.00273139,4.24474,48.7714
"171",1.9486,0.0584132,0.169894,0.00847837,4.814,49.4478,2.15059,0.0506704,0.203024,0.00918128,4.56538,49.899,1.97134,0.0477232,0.15584,0.00862901,4.47237,47.8282,2.18927,0.0979866,0.2173,0.00456796,4.06317,48.1791
"172",1.99316,0.10206,0.188574,0.00380856,4.52232,49.2,2.08988,0.0559277,0.189014,0.0088027,3.8756,51.2426,2.00998,0.0506571,0.169682,0.00888561,4.49438,48.8725,2.08935,0.121059,0.220189,0.00254419,4.18794,48.3904
"173",2.08127,0.0402768,0.18264,0.0104921,4.11154,49.8477,1.99773,0.0914219,0.20275,0.00495522,4.47468,48.1893,2.45977,0.0014516,0.210861,0.0132915,4.11914,50.9729,2.19381,0.0648756,0.20166,0.00771297,4.36912,50.115
"174",2.15012,0.0299247,0.183704,0.0113658,4.29687,49.3854,2.0297,0.0765378,0.211626,0.006532,4.31393,48.9867,1.87443,0.121394,0.185641,0.00232713,4.24786,48.9607,2.13829,0.00249247,0.172816,0.0129168,4.07524,49.6435
"175",2.13658,0.0320083,0.18887,0.0112037,4.22956,49.6581,2.04379,0.092351,0.180643,0.00547252,4.07839,50.7857,1.97954,0.116779,0.181165,0.0032932,4.98988,50.3993,2.31373,0.0222176,0.208154,0.0117238,4.28296,49.2518
"176",2.32831,0.0137579,0.199627,0.0125317,3.86477,52.0775,2.14209,0.0623118,0.203018,0.0082684,4.60781,49.695,2.03067,0.0427603,0.177498,0.01047,4.26972,49.9554,2.17535,0.05097,0.206195,0.00872409,4.41023,48.6156
"177",2.24843,0.0159063,0.192571,0.012188,3.98911,50.4012,2.0251,0.136579,0.188444,0.00119411,3.94052,49.9667,1.94842,0.0868102,0.16009,0.00528194,4.32774,50.5469,2.20613,0.0433803,0.202101,0.00996253,4.31465,48.896
"178",1.94182,0.110913,0.162605,0.00365232,4.58585,49.2667,2.08824,0.141757,0.206136,0.00039044,4.21456,50.0502,1.935,0.0878416,0.161732,0.00609094,4.32976,50.5293,2.12342,0.00139053,0.176456,0.0127463,4.22966,50.4361
"179",1.93204,0.123726,0.208264,0.00150734,4.85895,49.2782,2.09103,0.142707,0.210225,0.000394642,4.02151,50.0577,1.93211,0.084116,0.16167,0.00578806,4.33102,50.5356,2.10171,0.0167399,0.162346,0.0114986,4.08078,50.1857
"180",1.98095,0.116043,0.200024,0.00255238,4.72447,49.4363,1.99676,0.104531,0.19927,0.00411986,4.44535,49.5333,1.88692,0.106009,0.160848,0.00411071,4.25909,50.7479,2.21732,0.104161,0.203166,0.00382575,4.201,49.765
"181",2.13464,0.108557,0.191617,0.00365463,4.25476,48.702,2.11452,0.0964902,0.20137,0.0054483,4.36929,49.2425,1.95981,0.0789662,0.164939,0.00695925,4.12099,51.0628,1.89447,0.0615039,0.167616,0.00835325,4.34859,49.9837
"182",2.20656,0.0899364,0.19768,0.0051653,4.5268,48.0719,2.31636,0.0800001,0.221612,0.00633766,4.13842,50.1626,2.22376,0.030402,0.218968,0.0111383,4.4443,48.9136,2.01698,0.0650945,0.201022,0.00789146,4.11926,48.9688
"183",2.15671,0.0696514,0.202793,0.00730556,4.51672,48.0629,2.19739,0.0492114,0.20305,0.0100444,3.84866,50.0147,2.07598,0.118409,0.183996,0.00310751,4.08585,50.9216,2.1055,0.0395273,0.197139,0.0102408,4.44882,50.0441
"184",2.06158,0.019974,0.189846,0.0119743,4.42038,48.6345,2.20434,0.0676541,0.205593,0.00812789,4.27961,49.9102,2.1533,0.089602,0.217543,0.00534219,4.69524,49.9216,1.94664,0.12385,0.172244,0.0023948,4.06163,49.9211
"185",2.09623,0.035616,0.17842,0.0102131,4.3378,49.7448,2.24127,0.0700715,0.204092,0.00669929,4.31073,49.5814,2.25499,0.0813363,0.209034,0.00610504,4.07286,50.0798,1.8648,0.128677,0.171542,0.00230121,3.9533,49.7575
"186",2.06298,0.0681784,0.193014,0.00754653,4.10769,50.081,2.23355,0.067263,0.199522,0.0068791,4.33122,49.3708,2.16031,0.100998,0.204886,0.00436491,4.27975,49.1735,1.9714,0.0979361,0.184467,0.00445776,4.11142,48.9233
