lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,y0.1,y0.2,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.0354414
# Diagonal elements of inverse mass matrix:
# 0.00462503, 0.722189, 0.0116221, 0.797175, 0.000378294, 0.00336658
-555.214,0.981509,0.0354414,7,127,0,557.04,2.1908,0.0179589,0.199365,0.0120843,50.8176,4.20696,40.8416,29.7312,18.1748,11.8387,8.3621,4.49258,4.01578,3.12054,1.70658,0.933309,0.377459,0.206427,0.112892,0.0456583,0.0100983,0.000903596,9.88779,20.8756,32.245,38.4075,41.718,44.9525,44.2006,34.3755,18.7995,10.2812,4.15806,2.27399,1.24362,0.502958,0.111244,0.00995074,8.3621,3.12054,1.70658,0.933309,0.377459,0.206427,0.112892,0.0456583,0.0100983,0.000903596,41.718,34.3755,18.7995,10.2812,4.15806,2.27399,1.24362,0.502958,0.111244,0.00995074,50.8176,0,2.1908,0.0179589,0.199365,0.0120843
-556.01,0.933721,0.0354414,6,127,0,558.063,2.31984,0.0237889,0.214764,0.0116207,48.5362,4.33623,38.4986,27.5224,16.4287,10.5692,7.47145,4.24196,3.87719,3.00943,1.63998,0.893703,0.359523,0.195921,0.106766,0.0429511,0.00941541,0.000830904,9.9286,20.7609,31.6496,37.3296,40.2614,42.876,42.0627,32.6634,17.7998,9.69996,3.90213,2.12645,1.1588,0.466167,0.102195,0.00901196,7.47145,3.00943,1.63998,0.893703,0.359523,0.195921,0.106766,0.0429511,0.00941541,0.000830904,40.2614,32.6634,17.7998,9.69996,3.90213,2.12645,1.1588,0.466167,0.102195,0.00901196,48.5362,0,2.31984,0.0237889,0.214764,0.0116207
-554.531,0.99998,0.0354414,6,63,0,556.66,2.30643,0.0465744,0.200779,0.00948601,50.6277,4.18665,40.1124,28.605,16.9603,10.8004,7.53919,4.13333,3.75653,2.92915,1.61403,0.889372,0.363782,0.200453,0.110455,0.0451788,0.0101837,0.000939003,10.2999,21.5466,32.8673,38.7836,41.8441,44.5922,43.7699,34.1466,18.8156,10.3679,4.24078,2.33677,1.28762,0.526678,0.118705,0.0109433,7.53919,2.92915,1.61403,0.889372,0.363782,0.200453,0.110455,0.0451788,0.0101837,0.000939003,41.8441,34.1466,18.8156,10.3679,4.24078,2.33677,1.28762,0.526678,0.118705,0.0109433,50.6277,0,2.30643,0.0465744,0.200779,0.00948601
-554.614,0.999218,0.0354414,7,127,0,555.57,1.90755,0.118933,0.189552,0.00259094,49.1943,4.36271,40.2477,30.0343,18.9912,12.6242,8.95103,4.4745,3.83555,2.97603,1.62551,0.887859,0.358404,0.195761,0.106924,0.0431622,0.00951675,0.000847172,8.41559,18.0018,28.3157,34.2009,37.535,41.1991,40.6737,31.6187,17.2702,9.433,3.80785,2.07985,1.13602,0.45858,0.101111,0.00899917,8.95103,2.97603,1.62551,0.887859,0.358404,0.195761,0.106924,0.0431622,0.00951675,0.000847172,37.535,31.6187,17.2702,9.433,3.80785,2.07985,1.13602,0.45858,0.101111,0.00899917,49.1943,0,1.90755,0.118933,0.189552,0.00259094
-554.617,0.991037,0.0354414,7,127,0,556.158,2.07779,0.134577,0.19309,0.0013874,50.2194,4.36434,40.3387,29.3171,17.8253,11.505,8.02651,4.13699,3.66455,2.87246,1.60447,0.896203,0.374128,0.208975,0.116727,0.0487283,0.011362,0.00110708,9.27335,19.5955,30.3045,36.1304,39.273,42.381,41.7175,32.7314,18.2827,10.2121,4.26314,2.38125,1.33009,0.555258,0.129475,0.0126024,8.02651,2.87246,1.60447,0.896203,0.374128,0.208975,0.116727,0.0487283,0.011362,0.00110708,39.273,32.7314,18.2827,10.2121,4.26314,2.38125,1.33009,0.555258,0.129475,0.0126024,50.2194,0,2.07779,0.134577,0.19309,0.0013874
-554.639,0.939742,0.0354414,6,127,0,557.093,2.13862,0.101652,0.216704,0.00401826,50.2406,4.15046,40.2567,29.1925,17.7736,11.5759,8.20918,4.52735,4.08187,3.16592,1.72303,0.937745,0.376507,0.204912,0.111521,0.0447767,0.00978421,0.000858498,9.52406,20.0548,30.8655,36.664,39.7451,42.68,41.9307,32.544,17.7118,9.63954,3.8703,2.10638,1.14638,0.460277,0.100578,0.00882405,8.20918,3.16592,1.72303,0.937745,0.376507,0.204912,0.111521,0.0447767,0.00978421,0.000858498,39.7451,32.544,17.7118,9.63954,3.8703,2.10638,1.14638,0.460277,0.100578,0.00882405,50.2406,0,2.13862,0.101652,0.216704,0.00401826
-556.093,0.78749,0.0354414,7,127,0,560.88,2.05286,0.0485527,0.180755,0.00880122,48.2016,4.5996,39.1433,28.8948,17.9687,11.7833,8.27959,4.15234,3.60432,2.83333,1.59531,0.898246,0.379508,0.213683,0.120315,0.0508336,0.0120921,0.00121592,8.84304,18.8273,29.421,35.3575,38.6596,42.158,41.603,32.7519,18.4411,10.3833,4.38692,2.47007,1.39078,0.5876,0.139784,0.0140487,8.27959,2.83333,1.59531,0.898246,0.379508,0.213683,0.120315,0.0508336,0.0120921,0.00121592,38.6596,32.7519,18.4411,10.3833,4.38692,2.47007,1.39078,0.5876,0.139784,0.0140487,48.2016,0,2.05286,0.0485527,0.180755,0.00880122
-555.153,0.999866,0.0354414,7,127,0,557.337,2.17106,0.104858,0.195075,0.00421586,50.4169,3.89706,40.2458,28.9947,17.4164,11.156,7.76866,4.09382,3.66787,2.87178,1.59888,0.890189,0.369813,0.205895,0.114634,0.0476229,0.0110157,0.00105878,9.69586,20.3981,31.3557,37.2134,40.3163,43.2614,42.5325,33.3251,18.554,10.3301,4.29143,2.38929,1.33025,0.552627,0.127819,0.0122814,7.76866,2.87178,1.59888,0.890189,0.369813,0.205895,0.114634,0.0476229,0.0110157,0.00105878,40.3163,33.3251,18.554,10.3301,4.29143,2.38929,1.33025,0.552627,0.127819,0.0122814,50.4169,0,2.17106,0.104858,0.195075,0.00421586
-553.533,0.995395,0.0354414,5,63,0,556.774,2.05225,0.115818,0.195515,0.00314984,50.14,4.22642,40.4536,29.5949,18.1842,11.8443,8.31933,4.30343,3.7948,2.95132,1.61821,0.887268,0.360232,0.197515,0.108298,0.0439697,0.00978798,0.000884714,9.16248,19.4114,30.1265,36.0144,39.2226,42.4595,41.7925,32.5382,17.8407,9.78209,3.97155,2.17761,1.19398,0.48476,0.107913,0.00975321,8.31933,2.95132,1.61821,0.887268,0.360232,0.197515,0.108298,0.0439697,0.00978798,0.000884714,39.2226,32.5382,17.8407,9.78209,3.97155,2.17761,1.19398,0.48476,0.107913,0.00975321,50.14,0,2.05225,0.115818,0.195515,0.00314984
-554.621,0.970543,0.0354414,7,127,0,557.265,1.92481,0.0477845,0.165605,0.0089815,49.9892,4.27765,41.1096,30.8844,19.677,13.1006,9.23965,4.38234,3.65751,2.86979,1.61294,0.906535,0.381976,0.214686,0.120662,0.0508417,0.0120404,0.00120153,8.65873,18.6092,29.4654,35.7756,39.4203,43.6104,43.1854,33.9752,19.0954,10.7324,4.52218,2.54165,1.42851,0.601912,0.142545,0.0142239,9.23965,2.86979,1.61294,0.906535,0.381976,0.214686,0.120662,0.0508417,0.0120404,0.00120153,39.4203,33.9752,19.0954,10.7324,4.52218,2.54165,1.42851,0.601912,0.142545,0.0142239,49.9892,0,1.92481,0.0477845,0.165605,0.0089815
