lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,k_PlasKid,k_ePlas,k_KidPlas,k_eKid,Plasma0,scale,z_hat1.1.1,z_hat1.2.1,z_hat1.3.1,z_hat1.4.1,z_hat1.5.1,z_hat1.6.1,z_hat1.7.1,z_hat1.8.1,z_hat1.9.1,z_hat1.10.1,z_hat1.11.1,z_hat1.12.1,z_hat1.13.1,z_hat1.14.1,z_hat1.15.1,z_hat1.16.1,z_hat1.1.2,z_hat1.2.2,z_hat1.3.2,z_hat1.4.2,z_hat1.5.2,z_hat1.6.2,z_hat1.7.2,z_hat1.8.2,z_hat1.9.2,z_hat1.10.2,z_hat1.11.2,z_hat1.12.2,z_hat1.13.2,z_hat1.14.2,z_hat1.15.2,z_hat1.16.2,z_hat2.1.1,z_hat2.2.1,z_hat2.3.1,z_hat2.4.1,z_hat2.5.1,z_hat2.6.1,z_hat2.7.1,z_hat2.8.1,z_hat2.9.1,z_hat2.10.1,z_hat2.1.2,z_hat2.2.2,z_hat2.3.2,z_hat2.4.2,z_hat2.5.2,z_hat2.6.2,z_hat2.7.2,z_hat2.8.2,z_hat2.9.2,z_hat2.10.2,y0.1,y0.2,theta.1,theta.2,theta.3,theta.4
# Adaptation terminated
# Step size = 0.0312949
# Diagonal elements of inverse mass matrix:
# 0.00507172, 0.578917, 0.0126237, 0.938135, 0.000387686, 0.00354448
-556.346,0.991966,0.0312949,7,127,0,557.979,2.41909,0.0129194,0.210881,0.012555,50.0214,4.07776,39.3304,27.7614,16.2585,10.3114,7.23382,4.1432,3.81422,2.96461,1.62045,0.885736,0.357937,0.195648,0.106941,0.0432167,0.00954642,0.000852376,10.6267,22.0998,33.4446,39.2347,42.1563,44.6288,43.7456,34.0127,18.5913,10.162,4.10659,2.24466,1.22693,0.495817,0.10952,0.0097759,7.23382,2.96461,1.62045,0.885736,0.357937,0.195648,0.106941,0.0432167,0.00954642,0.000852376,42.1563,34.0127,18.5913,10.162,4.10659,2.24466,1.22693,0.495817,0.10952,0.0097759,50.0214,0,2.41909,0.0129194,0.210881,0.012555
-555.874,0.947822,0.0312949,7,127,0,559.883,1.89099,0.137073,0.175401,0.00132194,49.004,4.06153,40.0793,29.8744,18.8124,12.4137,8.71042,4.17335,3.52895,2.76003,1.53758,0.856567,0.356163,0.198415,0.110535,0.04596,0.0106461,0.00102551,8.31582,17.8047,28.0419,33.9052,37.2405,40.9464,40.4705,31.7208,17.6713,9.84448,4.09335,2.28036,1.27036,0.528219,0.122356,0.0117846,8.71042,2.76003,1.53758,0.856567,0.356163,0.198415,0.110535,0.04596,0.0106461,0.00102551,37.2405,31.7208,17.6713,9.84448,4.09335,2.28036,1.27036,0.528219,0.122356,0.0117846,49.004,0,1.89099,0.137073,0.175401,0.00132194
-556.247,0.949285,0.0312949,7,127,0,559.508,2.18498,0.0433077,0.200761,0.0102049,48.4017,4.10111,38.8246,28.1826,17.153,11.1337,7.84619,4.21661,3.77343,2.91001,1.56251,0.838978,0.330097,0.177244,0.0951706,0.037445,0.0079106,0.000657641,9.38413,19.7877,30.5123,36.2958,39.3854,42.3587,41.606,32.111,17.2418,9.25784,3.64252,1.95583,1.05017,0.413191,0.0872915,0.00725569,7.84619,2.91001,1.56251,0.838978,0.330097,0.177244,0.0951706,0.037445,0.0079106,0.000657641,39.3854,32.111,17.2418,9.25784,3.64252,1.95583,1.05017,0.413191,0.0872915,0.00725569,48.4017,0,2.18498,0.0433077,0.200761,0.0102049
-555.915,0.998256,0.0312949,7,127,0,559.137,2.11274,0.0574058,0.174929,0.00837147,51.3313,3.87455,41.3992,30.2478,18.5012,11.9543,8.30338,4.12407,3.60037,2.82623,1.58509,0.888992,0.373392,0.209416,0.117451,0.0493314,0.0116202,0.00114985,9.66284,20.4892,31.8383,38.0973,41.5218,45.0187,44.3634,34.8671,19.5551,10.9674,4.60652,2.58355,1.44898,0.608596,0.143365,0.0141846,8.30338,2.82623,1.58509,0.888992,0.373392,0.209416,0.117451,0.0493314,0.0116202,0.00114985,41.5218,34.8671,19.5551,10.9674,4.60652,2.58355,1.44898,0.608596,0.143365,0.0141846,51.3313,0,2.11274,0.0574058,0.174929,0.00837147
-555.513,0.968418,0.0312949,7,191,0,558.804,2.13032,0.136848,0.209998,0.000793488,49.1156,4.2526,39.2462,28.3323,17.1061,11.0396,7.75881,4.20099,3.78267,2.95088,1.62842,0.89863,0.368386,0.203289,0.112184,0.0459899,0.0104036,0.000965151,9.2671,19.4925,29.9561,35.5451,38.5027,41.3,40.5876,31.684,17.4846,9.6487,3.9554,2.18276,1.20454,0.493788,0.111706,0.0103591,7.75881,2.95088,1.62842,0.89863,0.368386,0.203289,0.112184,0.0459899,0.0104036,0.000965151,38.5027,31.684,17.4846,9.6487,3.9554,2.18276,1.20454,0.493788,0.111706,0.0103591,49.1156,0,2.13032,0.136848,0.209998,0.000793488
-554.435,0.933029,0.0312949,6,127,0,556.824,2.03007,0.119886,0.206573,0.00223854,49.7508,4.38698,40.2161,29.5168,18.2559,11.9863,8.49308,4.49652,3.98114,3.09092,1.68765,0.921459,0.371765,0.202985,0.11083,0.0447149,0.0098505,0.000875732,8.99656,19.0696,29.6171,35.4243,38.5949,41.8063,41.1485,31.9809,17.4616,9.53409,3.84655,2.10022,1.14673,0.462648,0.101914,0.00905735,8.49308,3.09092,1.68765,0.921459,0.371765,0.202985,0.11083,0.0447149,0.0098505,0.000875732,38.5949,31.9809,17.4616,9.53409,3.84655,2.10022,1.14673,0.462648,0.101914,0.00905735,49.7508,0,2.03007,0.119886,0.206573,0.00223854
-555.787,0.987614,0.0312949,6,63,0,557.205,1.93333,0.108948,0.175286,0.00398439,49.6431,4.71573,40.5459,30.1649,18.948,12.4865,8.76217,4.23342,3.59757,2.80626,1.55291,0.859335,0.353744,0.195752,0.108324,0.0445921,0.0101583,0.000952588,8.60591,18.4055,28.9435,34.9529,38.3558,42.0968,41.579,32.4986,17.9838,9.95173,4.09661,2.26695,1.25447,0.516398,0.117632,0.0110305,8.76217,2.80626,1.55291,0.859335,0.353744,0.195752,0.108324,0.0445921,0.0101583,0.000952588,38.3558,32.4986,17.9838,9.95173,4.09661,2.26695,1.25447,0.516398,0.117632,0.0110305,49.6431,0,1.93333,0.108948,0.175286,0.00398439
-555.047,0.998021,0.0312949,7,127,0,559.42,2.08123,0.132013,0.204481,0.00116557,49.9919,4.50226,40.1576,29.2036,17.8081,11.5589,8.12935,4.31241,3.84658,3.00604,1.66657,0.92396,0.381413,0.211458,0.117234,0.0483946,0.0110761,0.00104677,9.24127,19.5124,30.1435,35.9087,39.008,42.047,41.3677,32.3559,17.9383,9.94515,4.1054,2.27606,1.26187,0.520903,0.119214,0.0112624,8.12935,3.00604,1.66657,0.92396,0.381413,0.211458,0.117234,0.0483946,0.0110761,0.00104677,39.008,32.3559,17.9383,9.94515,4.1054,2.27606,1.26187,0.520903,0.119214,0.0112624,49.9919,0,2.08123,0.132013,0.204481,0.00116557
-559.672,0.926827,0.0312949,7,255,0,561.142,1.82093,0.156758,0.169087,6.22923e-05,50.0565,4.24415,41.1416,30.8747,19.6199,13.0144,9.13555,4.25395,3.52517,2.73963,1.50525,0.827039,0.336825,0.185064,0.101681,0.0414103,0.00926644,0.000844585,8.20259,17.6291,27.9136,33.8906,37.3416,41.2968,40.8572,31.8413,17.4948,9.61226,3.91473,2.15089,1.18178,0.481297,0.107697,0.00981454,9.13555,2.73963,1.50525,0.827039,0.336825,0.185064,0.101681,0.0414103,0.00926644,0.000844585,37.3416,31.8413,17.4948,9.61226,3.91473,2.15089,1.18178,0.481297,0.107697,0.00981454,50.0565,0,1.82093,0.156758,0.169087,6.22923e-05
-563.363,0.938095,0.0312949,6,95,0,568.163,1.71464,0.151332,0.152805,1.94238e-05,48.0923,4.3065,39.9613,30.4502,19.7652,13.2924,9.36971,4.13369,3.26567,2.58113,1.48347,0.852609,0.371496,0.213513,0.122714,0.0534684,0.0133898,0.00146111,7.46673,16.1841,25.9359,31.7934,35.2934,39.6304,39.4418,31.3245,18.0034,10.3472,4.50845,2.59118,1.48925,0.648891,0.162497,0.0177305,9.36971,2.58113,1.48347,0.852609,0.371496,0.213513,0.122714,0.0534684,0.0133898,0.00146111,35.2934,31.3245,18.0034,10.3472,4.50845,2.59118,1.48925,0.648891,0.162497,0.0177305,48.0923,0,1.71464,0.151332,0.152805,1.94238e-05
