"","X1.k_PlasKid","X1.k_ePlas","X1.k_KidPlas","X1.k_eKid","X1.k_AccuKid","X1.k_KidAccu","X1.scale","X1.Plasma0","X2.k_PlasKid","X2.k_ePlas","X2.k_KidPlas","X2.k_eKid","X2.k_AccuKid","X2.k_KidAccu","X2.scale","X2.Plasma0","X3.k_PlasKid","X3.k_ePlas","X3.k_KidPlas","X3.k_eKid","X3.k_AccuKid","X3.k_KidAccu","X3.scale","X3.Plasma0","X4.k_PlasKid","X4.k_ePlas","X4.k_KidPlas","X4.k_eKid","X4.k_AccuKid","X4.k_KidAccu","X4.scale","X4.Plasma0"
"3200",2.01289,0.0691622,0.186412,0.00361218,0.000436593,0.00443041,4.00291,48.4195,2.0068,0.0863042,0.213317,0.00215835,0.000498154,0.00464277,4.0044,49.1442,2.18654,0.0284514,0.204259,0.00855952,0.000480356,0.00462758,4.04983,50.3332,2.23792,0.0102492,0.225229,0.0104264,0.000516296,0.00447427,4.26474,48.7688
"3201",2.08768,0.048982,0.194031,0.00621751,0.000584639,0.00440136,4.10842,50.4594,2.3886,0.0748076,0.228235,0.00351483,0.000542166,0.00471184,4.32952,49.3919,2.2279,0.0219687,0.205107,0.00893783,0.000529703,0.00461405,3.86244,50.5096,2.27685,0.00290516,0.211488,0.010233,0.000437988,0.00461487,3.96459,49.3214
"3202",2.20482,0.0573123,0.199184,0.00505322,0.000585332,0.00429923,4.07547,50.0078,2.03337,0.0784969,0.192833,0.00320191,0.000442512,0.00514112,3.94148,50.2534,2.21839,0.10455,0.217113,0.000225319,0.000499366,0.00500052,3.80146,49.2519,2.19652,0.00181996,0.213456,0.0107301,0.000380199,0.00471762,3.85008,49.2998
"3203",2.10873,0.0500546,0.213596,0.00658657,0.000546485,0.00468577,4.39986,50.7676,2.12251,0.0785674,0.179464,0.00409953,0.000578383,0.00488905,3.80354,50.4105,2.17795,0.0210329,0.234469,0.00943487,0.000436233,0.00518689,4.2908,47.5068,2.24139,0.0334176,0.214059,0.00707861,0.000434744,0.00535184,3.43125,49.1918
"3204",2.48549,0.107073,0.222405,0.00100656,0.000356312,0.00422901,3.74932,51.4993,2.00721,0.0786214,0.205285,0.00397915,0.000443856,0.0045073,4.54405,49.0981,2.14922,0.0551092,0.210279,0.00569396,0.000524953,0.00458155,3.99934,50.5387,2.55015,0.105815,0.256207,0.000314774,0.000484169,0.00469462,3.88679,50.1676
"3205",2.4839,0.100544,0.223397,0.000887475,0.000370183,0.00405054,3.8195,51.3787,2.20196,0.0985034,0.203254,0.00136144,0.000404936,0.00402064,3.94309,50.6899,2.20566,0.0780194,0.210599,0.00328186,0.000402968,0.00471322,3.97178,50.4283,1.90887,0.0323282,0.159109,0.00726835,0.000491809,0.00432827,3.90812,48.8028
"3206",2.23508,0.092146,0.24288,0.0011443,0.000392325,0.00508808,3.89432,50.0846,2.16943,0.0449993,0.205042,0.00673267,0.000557311,0.00455953,4.10469,49.6619,2.10562,0.0794849,0.189334,0.00334201,0.000457687,0.00449865,3.9805,50.77,2.1736,0.0831693,0.221061,0.00260063,0.000463314,0.00446177,4.19886,49.5226
"3207",2.11563,0.0224999,0.205369,0.00894447,0.000456004,0.00516148,3.80935,49.9317,2.0689,0.0852307,0.196119,0.00259935,0.000453127,0.00416831,4.17977,49.4129,1.96288,0.0666202,0.177656,0.00464977,0.00057409,0.00516932,3.88721,48.8652,2.08341,0.107513,0.207314,0.00083064,0.000546084,0.00452992,4.16595,50.6254
"3208",2.30958,0.0944433,0.252293,0.00146871,0.000430131,0.00447939,4.34325,50.4932,2.06982,0.0901706,0.212915,0.00219047,0.000385223,0.00428632,4.28766,49.8083,2.05485,0.0533493,0.188632,0.00594173,0.000413139,0.00444103,4.22193,48.6959,2.15419,0.0741759,0.214072,0.00360217,0.000426545,0.0045914,4.08619,48.8027
"3209",2.02897,0.0854794,0.215583,0.00240398,0.000552152,0.00516458,3.84853,49.1604,2.34537,0.0248947,0.217225,0.00794049,0.000370571,0.00457353,3.86177,50.0509,1.92683,0.0997958,0.180337,0.00168245,0.000654892,0.00470623,4.21147,50.3598,2.02976,0.0784935,0.202143,0.00277257,0.000406766,0.00460572,4.105,48.7167
