"","k_kidDD","d_DD","maxdeath","hillDD","k_hillnec","d_CD","k_CDINF","d_INF","k_INFKF","hillKF","h1","INF0"
"3801",0.1614,0.070102,12.7852,42.5706,3.82807,0.00529066,0.468057,0.023303,0.0580414,12.8858,7.93618,0.000160228
"3802",0.204054,0.0729254,13.5498,35.4596,4.50452,0.00500598,0.156847,0.0100015,0.0339123,10.2959,9.06288,0.000470653
"3803",0.145659,0.0536831,12.5631,43.5796,4.0303,0.0115549,0.3191,0.0171243,0.0708366,15.3949,7.78971,0.00032986
"3804",0.260456,0.0842638,13.3278,38.3601,4.47214,0.00427845,0.202503,0.0126653,0.0381554,11.793,9.88023,0.000394702
"3805",0.194695,0.0704363,13.0406,40.1501,4.18989,0.00550472,0.275332,0.00931183,0.0543412,13.3401,9.77539,0.000360289
"3806",0.146939,0.0556999,12.5821,39.8823,4.39991,0.00794982,0.347439,0.0137472,0.0354249,12.2488,8.00342,0.000387229
"3807",0.145822,0.0520355,13.1897,41.7038,3.99581,0.00686051,0.263895,0.0109777,0.044996,13.1004,9.5874,0.000665885
"3808",0.239837,0.0955884,12.3137,38.4963,4.71364,0.00438913,0.199271,0.0111673,0.0569051,14.2335,7.51992,0.00047411
"3809",0.165688,0.0563486,13.2866,44.6624,4.16418,0.00563767,0.217701,0.0112237,0.0630231,12.6232,9.58043,0.000770371
"3810",0.123719,0.0456361,12.7254,37.1859,3.93649,0.00642874,0.271591,0.0162783,0.0324216,10.6815,9.47488,0.000393922
"3811",0.140952,0.0541586,13.4966,45.7676,4.16359,0.0100493,0.34423,0.0128011,0.0753114,14.6336,7.78191,0.00034246
"3812",0.259415,0.0907992,12.1799,37.6013,4.69899,0.00344101,0.193193,0.0088182,0.0865199,13.2321,9.38323,0.000470297
"3813",0.215112,0.0816581,12.6313,40.8026,4.18127,0.00456981,0.275836,0.0143404,0.0572318,12.3227,8.78552,0.000459915
"3814",0.189403,0.0694182,12.7768,40.2953,4.23955,0.00794019,0.243211,0.00841348,0.085389,14.1604,9.01487,0.000716412
"3815",0.182272,0.0655652,12.8987,41.3068,4.24735,0.0102375,0.408103,0.0136307,0.0226087,9.62878,8.67885,0.00031721
"3816",0.201385,0.071185,12.6777,41.9097,4.1148,0.0124425,0.387795,0.0126285,0.0171037,9.73894,8.73944,0.000347342
