"","k_cDD","degDD","hillDD","k_inter","maxdeath","k_hillnec","p","h"
"8250",0.272848,0.0506119,0.00262895,0.0407298,1.21749,4.82138,0.714959,31.1647
"8251",0.272485,0.049769,0.00258493,0.0368149,1.08332,4.85189,0.72233,31.6388
"8252",0.296335,0.0512671,0.00313555,0.0291182,1.0827,5.12799,0.780498,25.9236
"8253",0.290813,0.0502603,0.00342496,0.0353607,1.5017,5.07736,0.777607,27.6759
"8254",0.25994,0.0416688,0.00334725,0.062111,0.963349,5.11873,0.785058,29.2379
"8255",0.268285,0.04668,0.00313022,0.044864,1.26406,5.05097,0.849375,27.5804
"8256",0.251033,0.0386296,0.00378026,0.0653041,1.09685,5.14109,0.71021,27.2107
"8257",0.253301,0.0427919,0.0028039,0.0610571,1.03608,5.0844,0.927856,29.2881
"8258",0.275107,0.0452423,0.00301351,0.0521023,1.16276,5.2352,0.744464,29.1433
"8259",0.289234,0.0482342,0.00322695,0.0457767,1.13088,5.23661,0.889027,28.9496
"8260",0.288101,0.0482576,0.00336942,0.0500103,1.18842,5.20266,0.898607,28.3427
"8261",0.262042,0.0457433,0.00320191,0.0444398,1.45829,5.05655,0.829978,25.9442
"8262",0.297162,0.0485747,0.00336933,0.0343451,0.880345,5.36572,0.823494,24.2429
"8263",0.284913,0.0457302,0.00404395,0.0438682,1.28755,5.24042,0.857163,26.6087
"8264",0.259164,0.0408149,0.00398904,0.0461047,0.98632,5.25848,0.80326,22.7671
"8265",0.31065,0.0547009,0.00292242,0.0193368,1.06618,5.00649,0.723045,25.3443
"8266",0.261832,0.0418285,0.00385817,0.0544164,1.10982,5.10399,0.708711,26.4713
"8267",0.24344,0.0407469,0.00375942,0.0525113,1.44019,4.99083,0.749836,24.5913
"8268",0.277946,0.0458846,0.00390051,0.0402252,1.00969,5.09687,0.788555,25.3909
"8269",0.263583,0.0430356,0.00286987,0.0632516,1.09261,5.1985,0.774767,29.7038
"8270",0.275171,0.046895,0.0031498,0.045497,0.992764,5.03462,0.784941,29.9093
"8271",0.30104,0.0522595,0.00350466,0.0307145,1.24309,5.05252,0.759253,26.2068
"8272",0.255304,0.0387212,0.00444634,0.0451931,0.971716,5.24756,0.752164,22.4701
"8273",0.246554,0.0443206,0.00338885,0.0506168,1.27746,4.77121,0.797633,26.8156
"8274",0.270424,0.047301,0.00332906,0.0450039,0.780947,4.87187,0.740177,27.4912
"8275",0.291114,0.0476928,0.0040405,0.0342022,1.47958,5.27344,0.809927,23.8274
"8276",0.280777,0.0475707,0.00362571,0.0325699,1.43647,5.191,0.867965,24.0676
"8277",0.278722,0.0437384,0.00429168,0.0384627,0.567352,5.1046,0.707309,23.1366
