"","mean","sd","rhat"
"sol3[16,6]",2.46189598894716e-23,4.07252368894382e-22,1.00096031866042
"sol3[17,6]",2.710772128874e-23,4.44259695120013e-22,1.00095842061109
"sol3[18,6]",2.92110257478564e-23,4.75256065031084e-22,1.00095438564807
"sol3[19,6]",3.38715707246607e-23,5.42719846369797e-22,1.0009460362129
"sol3[20,6]",3.45880144127797e-23,5.52851722303117e-22,1.00094532841578
"sol3[21,6]",3.47848193214537e-23,5.55615835753385e-22,1.00094557137533
"sol3[22,6]",3.51248365041251e-23,5.60366776000122e-22,1.00094551739839
"sol3[23,6]",3.55217723786226e-23,5.6586569909404e-22,1.00094607324285
"sol3[24,6]",3.58119360276048e-23,5.69842825634914e-22,1.00094674959734
"sol3[25,6]",3.60219525865934e-23,5.72690520526506e-22,1.00094824894032
"sol3[26,6]",3.61726987956312e-23,5.74711837848685e-22,1.00094859437356
"sol3[27,6]",3.62801758076533e-23,5.76138232204363e-22,1.00094927695889
"sol3[28,6]",3.63563444075727e-23,5.77137991540859e-22,1.000950284871
"sol3[29,6]",3.64100779229136e-23,5.7783631511145e-22,1.00095132145994
"sol3[30,6]",3.64478623845588e-23,5.7832292670581e-22,1.00095172798143
"sol3[31,6]",3.64743106074911e-23,5.78659355413117e-22,1.00095194639639
"sol3[32,6]",3.64928458701646e-23,5.78893798033821e-22,1.00095226764533
"sol3[33,6]",3.65057815289326e-23,5.79055636241043e-22,1.00095296113961
"sol3[34,6]",3.65148430917044e-23,5.79168768751757e-22,1.00095336566758
"sol3[35,6]",3.65294826981282e-23,5.79348083041872e-22,1.00095413076997
"sol4[1,1]",0.4748,0,NA
"sol4[2,1]",0.290002,0,NA
"sol4[3,1]",0.0944809,0,NA
"sol4[4,1]",0.0343003,0,NA
"sol4[5,1]",0.0224777,0,NA
"sol4[6,1]",0.0137121,0,NA
"sol4[7,1]",0.0124722,0,NA
"sol4[8,1]",0.00400964,0,NA
"sol4[9,1]",-0.00314508,0,NA
"sol4[10,1]",-0.00919111,0,NA
"sol4[11,1]",-0.0142974,0,NA
"sol4[12,1]",-0.0186068,0,NA
"sol4[13,1]",-0.0222383,0,NA
"sol4[14,1]",-0.0252962,0,NA
"sol4[15,1]",-0.0278674,0,NA
"sol4[16,1]",-0.0300279,0,NA
"sol4[17,1]",-0.031837,0,NA
"sol4[18,1]",-0.0333495,0,NA
"sol4[19,1]",-0.0369235,0,NA
"sol4[20,1]",-0.0375653,0,NA
"sol4[21,1]",-0.037752,0,NA
"sol4[22,1]",-0.0380887,0,NA
"sol4[23,1]",-0.0385112,0,NA
"sol4[24,1]",-0.0388474,0,NA
"sol4[25,1]",-0.039111,0,NA
"sol4[26,1]",-0.039314,0,NA
"sol4[27,1]",-0.0394656,0,NA
"sol4[28,1]",-0.0395726,0,NA
"sol4[29,1]",-0.0396417,0,NA
"sol4[30,1]",-0.0396795,0,NA
"sol4[31,1]",-0.0396913,0,NA
"sol4[32,1]",-0.039681,0,NA
"sol4[33,1]",-0.0396506,0,NA
"sol4[34,1]",-0.0396039,0,NA
"sol4[35,1]",-0.0393638,0,NA
"sol4[1,2]",1.49212,0,NA
"sol4[2,2]",1.47872,0,NA
"sol4[3,2]",1.45205,0,NA
"sol4[4,2]",1.43487,0,NA
"sol4[5,2]",1.42995,0,NA
"sol4[6,2]",1.42569,0,NA
"sol4[7,2]",1.42504,0,NA
"sol4[8,2]",1.42014,0,NA
"sol4[9,2]",1.41526,0,NA
"sol4[10,2]",1.41039,0,NA
"sol4[11,2]",1.40554,0,NA
"sol4[12,2]",1.4007,0,NA
"sol4[13,2]",1.39588,0,NA
"sol4[14,2]",1.39108,0,NA
"sol4[15,2]",1.38629,0,NA
"sol4[16,2]",1.38152,0,NA
"sol4[17,2]",1.37676,0,NA
"sol4[18,2]",1.37202,0,NA
"sol4[19,2]",1.3554,0,NA
"sol4[20,2]",1.35073,0,NA
"sol4[21,2]",1.34918,0,NA
"sol4[22,2]",1.34608,0,NA
"sol4[23,2]",1.34144,0,NA
"sol4[24,2]",1.33682,0,NA
"sol4[25,2]",1.33222,0,NA
"sol4[26,2]",1.32763,0,NA
"sol4[27,2]",1.32306,0,NA
"sol4[28,2]",1.3185,0,NA
"sol4[29,2]",1.31396,0,NA
"sol4[30,2]",1.30943,0,NA
"sol4[31,2]",1.30492,0,NA
"sol4[32,2]",1.30042,0,NA
"sol4[33,2]",1.29594,0,NA
"sol4[34,2]",1.29148,0,NA
"sol4[35,2]",1.27671,0,NA
"sol4[1,3]",0.00403595,0,NA
"sol4[2,3]",0.00267755,0,NA
"sol4[3,3]",0.00123638,0,NA
"sol4[4,3]",0.000789971,0,NA
"sol4[5,3]",0.000701248,0,NA
"sol4[6,3]",0.0006352,0,NA
"sol4[7,3]",0.000625477,0,NA
"sol4[8,3]",0.000561837,0,NA
"sol4[9,3]",0.000508052,0,NA
"sol4[10,3]",0.000462241,0,NA
"sol4[11,3]",0.000422832,0,NA
"sol4[12,3]",0.000388737,0,NA
"sol4[13,3]",0.000360652,0,NA
"sol4[14,3]",0.000336749,0,NA
"sol4[15,3]",0.000316508,0,NA
"sol4[16,3]",0.000298079,0,NA
"sol4[17,3]",0.000283211,0,NA
"sol4[18,3]",0.000270565,0,NA
"sol4[19,3]",0.000238481,0,NA
"sol4[20,3]",0.000232109,0,NA
"sol4[21,3]",0.000230072,0,NA
"sol4[22,3]",0.000226145,0,NA
"sol4[23,3]",0.000221013,0,NA
"sol4[24,3]",0.00021715,0,NA
"sol4[25,3]",0.000213845,0,NA
"sol4[26,3]",0.000210552,0,NA
"sol4[27,3]",0.000207269,0,NA
"sol4[28,3]",0.000204693,0,NA
"sol4[29,3]",0.000202895,0,NA
"sol4[30,3]",0.000201162,0,NA
"sol4[31,3]",0.000199139,0,NA
"sol4[32,3]",0.000197082,0,NA
"sol4[33,3]",0.000195772,0,NA
"sol4[34,3]",0.000194859,0,NA
"sol4[35,3]",0.00019075,0,NA
"sol4[1,4]",0.0008980421529375,0.000302962546185702,1.0008506938324
"sol4[2,4]",0.00132939409875,0.000387489983342428,1.00085070807878
"sol4[3,4]",0.001448494265375,0.000292650409459586,1.00083666378457
"sol4[4,4]",0.0013151892974375,0.000194064308203835,1.00093475934929
"sol4[5,4]",0.0012667529460625,0.00016834068483966,1.00082384976775
"sol4[6,4]",0.0012233470999375,0.000147730568502174,1.00066230580474
"sol4[7,4]",0.001216603157625,0.000144714777841946,1.0006541857878
"sol4[8,4]",0.0011657471123125,0.000123512894826473,1.00051829724236
"sol4[9,4]",0.0011149829175625,0.00010503440118509,1.00041056304745
"sol4[10,4]",0.001064923501,8.95739998176854e-05,1.00029121736228
"sol4[11,4]",0.0010160317009375,7.74181311101123e-05,1.00012472437011
"sol4[12,4]",0.000968646766375,6.87752145245544e-05,1.00007092918925
"sol4[13,4]",0.000922995989125,6.36280788441469e-05,0.999997954445554
"sol4[14,4]",0.0008792516425,6.15953077435881e-05,1.00018260452153
"sol4[15,4]",0.000837513239625,6.19593433333553e-05,1.00017887481965
"sol4[16,4]",0.0007978434209375,6.38834923604399e-05,1.00026543709741
"sol4[17,4]",0.0007602355316875,6.66426161232818e-05,1.00045708265174
"sol4[18,4]",0.000724680759875,6.97036299066804e-05,1.00058050688238
"sol4[19,4]",0.000614770977375,7.90256276374195e-05,1.00082603601772
"sol4[20,4]",0.0005878190478125,8.0804166018441e-05,1.00081112428627
"sol4[21,4]",0.00057921421725,8.13028603423338e-05,1.00077591693508
"sol4[22,4]",0.000562553657625,8.21617855068356e-05,1.00084240796066
"sol4[23,4]",0.0005388831938125,8.31172924566818e-05,1.00088779492388
"sol4[24,4]",0.0005167156940625,8.36992038744689e-05,1.0008794116912
"sol4[25,4]",0.0004959702735625,8.39372011556033e-05,1.00087824064445
"sol4[26,4]",0.00047656650475,8.38634516976862e-05,1.00084389320435
"sol4[27,4]",0.000458421836875,8.35120427974053e-05,1.00089474336438
"sol4[28,4]",0.00044145068825,8.2918329340221e-05,1.00089993704969
"sol4[29,4]",0.0004255764093125,8.21138669237745e-05,1.00085849779101
"sol4[30,4]",0.0004107328611875,8.11255159528505e-05,1.00087430801298
"sol4[31,4]",0.0003968544976875,7.99790371752918e-05,1.00091542786583
"sol4[32,4]",0.0003838742433125,7.86998276689127e-05,1.00089376925262
"sol4[33,4]",0.0003717241730625,7.73126787008879e-05,1.00088606747821
"sol4[34,4]",0.0003603499740625,7.58364433011468e-05,1.00088490295391
"sol4[35,4]",0.0003274085168125,7.04746844185482e-05,1.00092359363287
"sol4[1,5]",0.1151289474625,0.0287035159307247,1.00058703799187
"sol4[2,5]",0.334746190125,0.0713949503610334,1.00057854168263
"sol4[3,5]",0.7602195671875,0.134400360096119,1.00057273770356
"sol4[4,5]",0.9611696140625,0.155142054432643,1.00057080465561
"sol4[5,5]",1.006316175375,0.158423834535581,1.00057063946435
"sol4[6,5]",1.040925208875,0.160383779190691,1.00057229266427
"sol4[7,5]",1.0458849918125,0.160615655300548,1.00057283407254
"sol4[8,5]",1.0800627626875,0.161792893969664,1.00057668827889
"sol4[9,5]",1.1090752190625,0.16203504820835,1.0005786148197
"sol4[10,5]",1.1331766506875,0.161424582259585,1.0005803254032
"sol4[11,5]",1.1526416835,0.160045913482322,1.00058124579001
"sol4[12,5]",1.167757997125,0.157984243026658,1.00058310199569
"sol4[13,5]",1.1788210071875,0.155324768561528,1.00058628416864
"sol4[14,5]",1.1861282634375,0.152151156553317,1.00059161349889
"sol4[15,5]",1.1899762363125,0.148545262127025,1.0005962245713
