"sample_id","module","eg_score","module_size","module_coverage_abs","module_coverage_per"
"upload_R1CPTC0T24_24_0","rKIDNEY_385",-3.60929185842784,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_386",-1.60448850061996,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_387",0.5634846620298,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_389",-2.7189392269477,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_390",-3.12080061828125,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_392",-2.00149771023261,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_393",0.37506612034631,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_397",-2.68548870865495,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_399",-1.61385225856921,5,5,100
"upload_R1CPTC0T24_24_0","rKIDNEY_56",-0.94271928288359,24,24,100
"upload_R1CPTC0T24_24_0","rKIDNEY_67",-3.8296849037693,23,23,100
"upload_R1CPTC0T24_24_0","rKIDNEY_71",-0.342219760839345,22,22,100
"upload_R1CPTC0T24_24_0","rKIDNEY_72m",-0.221918007960418,39,39,100
"upload_R1CPTC0T24_24_0","rKIDNEY_83",-3.37579652448069,19,19,100
"upload_R1CPTC0T24_24_0","rKIDNEY_86",-0.872864140716057,18,18,100
"upload_R1CPTC0T24_24_0","rKIDNEY_92",-1.11930140830861,18,18,100
"upload_R1CPTC0T360_360_0","rKIDNEY_108",-3.35957062942719,16,16,100
"upload_R1CPTC0T360_360_0","rKIDNEY_116",-1.71641508910153,16,16,100
"upload_R1CPTC0T360_360_0","rKIDNEY_119",-0.193395434881389,16,16,100
"upload_R1CPTC0T360_360_0","rKIDNEY_127",-0.0429285859100826,15,15,100
"upload_R1CPTC0T360_360_0","rKIDNEY_137m",-2.08766815205328,22,22,100
"upload_R1CPTC0T360_360_0","rKIDNEY_143",-0.119355123680215,14,14,100
"upload_R1CPTC0T360_360_0","rKIDNEY_145",0.254764038304319,14,14,100
