sample_id	experiment	time	time_unit	conc_unit	conc_level	module	module_size	eg_score	moduleCoverage	moduleCoveragePercetage
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_86	18	0.22841201955179	18	100
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_87	18	-2.85010397566682	14	77.8
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_89	18	-1.79560314157872	16	88.9
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_90	18	-3.00542563347736	17	94.4
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_91	18	3.89501233742746	16	88.9
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_92	18	-4.69489528380348	17	94.4
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_93	18	-2.90252672947528	15	83.3
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_94	17	0.220075506620228	13	76.5
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_95	17	0.847124268040803	13	76.5
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_96m	34	-4.75142981607662	30	88.2
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_100	17	0.751092664328929	16	94.1
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_102	17	-0.860640127764601	16	94.1
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_103	17	-3.19395127236883	15	88.2
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_104	16	6.62948233152691	15	93.8
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_105	16	-0.240997181932269	12	75
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_106	16	-3.75959089669042	14	87.5
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_108	16	4.30752090632395	16	100
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_109	16	-4.68534532293985	15	93.8
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_110	16	-4.39347650086712	15	93.8
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_112	16	1.12710622116285	14	87.5
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_113	16	2.24681772992805	12	75
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_114m	25	5.34453454471968	23	92
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_115	16	0.0781268887694353	13	81.2
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_116	16	-1.5847375904261	16	100
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_118	16	-1.62670068997294	14	87.5
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_119	16	-2.85186254611617	16	100
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_120	16	2.56009881069059	14	87.5
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_121	16	0.15171720511651	13	81.2
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_123	16	-3.91978434051734	15	93.8
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_124	15	-2.19981575534747	14	93.3
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_125	15	-0.19938229871641	12	80
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_126	15	-4.04576881891482	12	80
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_127	15	4.86796055829449	15	100
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_128	15	2.51230601545258	11	73.3
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_130m	27	0.181773762488965	24	88.9
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_132	15	1.80847051370758	12	80
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_133	15	1.19281672385634	5	33.3
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_134	15	-3.12594876700224	13	86.7
uploadFile1_SINGLE_1_192_5	uploadFile1_1	192	day	concUnit	3	rKIDNEY_135	15	-1.87982851133032	11	73.3
